"Sample","Timestamp","Status","RttMs"
"1","2026-04-09T02:21:59.2038108+03:00","Success","2"
"2","2026-04-09T02:21:59.4716583+03:00","Success","2"
"3","2026-04-09T02:21:59.7347480+03:00","Success","2"
"4","2026-04-09T02:21:59.9968101+03:00","Success","2"
"5","2026-04-09T02:22:00.2605401+03:00","Success","2"
"6","2026-04-09T02:22:00.5253797+03:00","Success","2"
"7","2026-04-09T02:22:00.7908006+03:00","Success","2"
"8","2026-04-09T02:22:01.0524852+03:00","Success","2"
"9","2026-04-09T02:22:01.3168660+03:00","Success","2"
"10","2026-04-09T02:22:01.5784900+03:00","Success","2"
"11","2026-04-09T02:22:01.8386366+03:00","Success","2"
"12","2026-04-09T02:22:02.1015327+03:00","Success","2"
"13","2026-04-09T02:22:02.3625602+03:00","Success","2"
"14","2026-04-09T02:22:02.6294420+03:00","Success","2"
"15","2026-04-09T02:22:02.8929464+03:00","Success","2"
"16","2026-04-09T02:22:03.1585728+03:00","Success","2"
"17","2026-04-09T02:22:03.4242253+03:00","Success","2"
"18","2026-04-09T02:22:03.6888843+03:00","Success","2"
"19","2026-04-09T02:22:03.9544911+03:00","Success","2"
"20","2026-04-09T02:22:04.2183873+03:00","Success","2"
"21","2026-04-09T02:22:04.4782301+03:00","Success","2"
"22","2026-04-09T02:22:04.7420593+03:00","Success","2"
"23","2026-04-09T02:22:05.0013832+03:00","Success","2"
"24","2026-04-09T02:22:05.2647674+03:00","Success","2"
"25","2026-04-09T02:22:05.5293710+03:00","Success","2"
"26","2026-04-09T02:22:05.7926279+03:00","Success","2"
"27","2026-04-09T02:22:06.0565466+03:00","Success","2"
"28","2026-04-09T02:22:06.3234584+03:00","Success","2"
"29","2026-04-09T02:22:06.5865907+03:00","Success","2"
"30","2026-04-09T02:22:06.8491366+03:00","Success","2"
"31","2026-04-09T02:22:07.1122157+03:00","Success","2"
"32","2026-04-09T02:22:07.3776084+03:00","Success","2"
"33","2026-04-09T02:22:07.6385893+03:00","Success","2"
"34","2026-04-09T02:22:07.8994537+03:00","Success","2"
"35","2026-04-09T02:22:08.1656946+03:00","Success","2"
"36","2026-04-09T02:22:08.4321610+03:00","Success","2"
"37","2026-04-09T02:22:08.6977978+03:00","Success","2"
"38","2026-04-09T02:22:08.9627325+03:00","Success","2"
"39","2026-04-09T02:22:09.2279681+03:00","Success","2"
"40","2026-04-09T02:22:09.4918202+03:00","Success","2"
"41","2026-04-09T02:22:09.7556258+03:00","Success","2"
"42","2026-04-09T02:22:10.0202613+03:00","Success","2"
"43","2026-04-09T02:22:10.2830376+03:00","Success","2"
"44","2026-04-09T02:22:10.5427974+03:00","Success","2"
"45","2026-04-09T02:22:10.8070301+03:00","Success","2"
"46","2026-04-09T02:22:11.0680919+03:00","Success","2"
"47","2026-04-09T02:22:11.3308720+03:00","Success","2"
"48","2026-04-09T02:22:11.5981920+03:00","Success","2"
"49","2026-04-09T02:22:11.8617338+03:00","Success","2"
"50","2026-04-09T02:22:12.1281265+03:00","Success","2"
"51","2026-04-09T02:22:12.3926197+03:00","Success","2"
"52","2026-04-09T02:22:12.6598357+03:00","Success","2"
"53","2026-04-09T02:22:12.9248732+03:00","Success","2"
"54","2026-04-09T02:22:13.1897336+03:00","Success","2"
"55","2026-04-09T02:22:13.4517296+03:00","Success","2"
"56","2026-04-09T02:22:13.7141257+03:00","Success","2"
"57","2026-04-09T02:22:13.9796073+03:00","Success","2"
"58","2026-04-09T02:22:14.2456023+03:00","Success","2"
"59","2026-04-09T02:22:14.5079714+03:00","Success","2"
"60","2026-04-09T02:22:14.7682692+03:00","Success","2"
"61","2026-04-09T02:22:15.0332533+03:00","Success","2"
"62","2026-04-09T02:22:15.2956322+03:00","Success","2"
"63","2026-04-09T02:22:15.5623293+03:00","Success","2"
"64","2026-04-09T02:22:15.8166570+03:00","Success","4"
"65","2026-04-09T02:22:16.0810282+03:00","Success","2"
"66","2026-04-09T02:22:16.3452537+03:00","Success","2"
"67","2026-04-09T02:22:16.6065827+03:00","Success","2"
"68","2026-04-09T02:22:16.8716794+03:00","Success","2"
"69","2026-04-09T02:22:17.1309659+03:00","Success","2"
"70","2026-04-09T02:22:17.3954213+03:00","Success","3"
"71","2026-04-09T02:22:17.6583084+03:00","Success","2"
"72","2026-04-09T02:22:17.9206266+03:00","Success","3"
"73","2026-04-09T02:22:18.1831375+03:00","Success","2"
"74","2026-04-09T02:22:18.4493706+03:00","Success","2"
"75","2026-04-09T02:22:18.7133877+03:00","Success","13"
"76","2026-04-09T02:22:18.9898240+03:00","Success","2"
"77","2026-04-09T02:22:19.2505340+03:00","Success","2"
"78","2026-04-09T02:22:19.5137397+03:00","Success","2"
"79","2026-04-09T02:22:19.7778103+03:00","Success","2"
"80","2026-04-09T02:22:20.0379725+03:00","Success","3"
"81","2026-04-09T02:22:20.2991192+03:00","Success","2"
"82","2026-04-09T02:22:20.5612640+03:00","Success","2"
"83","2026-04-09T02:22:20.8237955+03:00","Success","3"
"84","2026-04-09T02:22:21.0888397+03:00","Success","4"
"85","2026-04-09T02:22:21.3533343+03:00","Success","2"
"86","2026-04-09T02:22:21.6178772+03:00","Success","2"
"87","2026-04-09T02:22:21.8851131+03:00","Success","3"
"88","2026-04-09T02:22:22.1500653+03:00","Success","2"
"89","2026-04-09T02:22:22.4140774+03:00","Success","2"
"90","2026-04-09T02:22:22.6780016+03:00","Success","2"
"91","2026-04-09T02:22:22.9404194+03:00","Success","2"
"92","2026-04-09T02:22:23.2051388+03:00","Success","2"
"93","2026-04-09T02:22:23.4664948+03:00","Success","2"
"94","2026-04-09T02:22:23.7330605+03:00","Success","2"
"95","2026-04-09T02:22:23.9981338+03:00","Success","2"
"96","2026-04-09T02:22:24.2618299+03:00","Success","3"
"97","2026-04-09T02:22:24.5250938+03:00","Success","3"
"98","2026-04-09T02:22:24.7876066+03:00","Success","3"
"99","2026-04-09T02:22:25.0529968+03:00","Success","2"
"100","2026-04-09T02:22:25.3182768+03:00","Success","2"
"101","2026-04-09T02:22:25.5831393+03:00","Success","2"
"102","2026-04-09T02:22:25.8452176+03:00","Success","2"
"103","2026-04-09T02:22:26.1067657+03:00","Success","2"
"104","2026-04-09T02:22:26.3713311+03:00","Success","2"
"105","2026-04-09T02:22:26.6370305+03:00","Success","2"
"106","2026-04-09T02:22:26.8994649+03:00","Success","2"
"107","2026-04-09T02:22:27.1597473+03:00","Success","2"
"108","2026-04-09T02:22:27.4243095+03:00","Success","2"
"109","2026-04-09T02:22:27.6862192+03:00","Success","6"
"110","2026-04-09T02:22:27.9490913+03:00","Success","5"
"111","2026-04-09T02:22:28.2114726+03:00","Success","12"
"112","2026-04-09T02:22:28.4893902+03:00","Success","2"
"113","2026-04-09T02:22:28.7550325+03:00","Success","4"
"114","2026-04-09T02:22:29.0176231+03:00","Success","2"
"115","2026-04-09T02:22:29.2784185+03:00","Success","2"
"116","2026-04-09T02:22:29.5399045+03:00","Success","2"
"117","2026-04-09T02:22:29.7995352+03:00","Success","2"
"118","2026-04-09T02:22:30.0625419+03:00","Success","2"
"119","2026-04-09T02:22:30.3253972+03:00","Success","2"
"120","2026-04-09T02:22:30.5864072+03:00","Success","2"
