"Sample","Timestamp","Status","RttMs"
"1","2026-04-09T01:22:31.3278667+03:00","Success","22"
"2","2026-04-09T01:22:31.6080198+03:00","Success","21"
"3","2026-04-09T01:22:31.8879543+03:00","Success","23"
"4","2026-04-09T01:22:32.1689217+03:00","Success","22"
"5","2026-04-09T01:22:32.4469278+03:00","Success","21"
"6","2026-04-09T01:22:32.7291717+03:00","Success","22"
"7","2026-04-09T01:22:33.0104118+03:00","Success","22"
"8","2026-04-09T01:22:33.2886559+03:00","Success","22"
"9","2026-04-09T01:22:33.5703369+03:00","Success","22"
"10","2026-04-09T01:22:33.8519849+03:00","Success","22"
"11","2026-04-09T01:22:34.1328863+03:00","Success","22"
"12","2026-04-09T01:22:34.4173811+03:00","Success","21"
"13","2026-04-09T01:22:34.6989499+03:00","Success","21"
"14","2026-04-09T01:22:34.9804640+03:00","Success","21"
"15","2026-04-09T01:22:35.2614152+03:00","Success","21"
"16","2026-04-09T01:22:35.5460980+03:00","Success","22"
"17","2026-04-09T01:22:35.8245923+03:00","Success","22"
"18","2026-04-09T01:22:36.1073368+03:00","Success","22"
"19","2026-04-09T01:22:36.3911463+03:00","Success","21"
"20","2026-04-09T01:22:36.6739779+03:00","Success","21"
"21","2026-04-09T01:22:36.9558130+03:00","Success","22"
"22","2026-04-09T01:22:37.2351303+03:00","Success","22"
"23","2026-04-09T01:22:37.5155698+03:00","Success","22"
"24","2026-04-09T01:22:37.7960761+03:00","Success","22"
"25","2026-04-09T01:22:38.0772252+03:00","Success","21"
"26","2026-04-09T01:22:38.3586243+03:00","Success","22"
"27","2026-04-09T01:22:38.6401484+03:00","Success","22"
"28","2026-04-09T01:22:38.9216902+03:00","Success","21"
"29","2026-04-09T01:22:39.1991845+03:00","Success","22"
"30","2026-04-09T01:22:39.4826202+03:00","Success","22"
"31","2026-04-09T01:22:39.7635433+03:00","Success","21"
"32","2026-04-09T01:22:40.0421203+03:00","Success","22"
"33","2026-04-09T01:22:40.3234651+03:00","Success","21"
